animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type,animal_name
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,0
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,2
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,3
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,4
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,5
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,6
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,7
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,8
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,9
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,10
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,11
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,12
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,13
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,14
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,15
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,16
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,17
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,18
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,19
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,20
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,21
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,22
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,23
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,24
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,25
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,25
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,26
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,27
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,28
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,29
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,30
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,31
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,32
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,33
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,34
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,35
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,36
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,37
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,38
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,39
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,40
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,41
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,42
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,43
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,44
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,45
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,46
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,47
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,48
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,49
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,50
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,51
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,52
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,53
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,54
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,55
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,56
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,57
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,58
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,59
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,60
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,61
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,62
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,63
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,64
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,65
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,66
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,67
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,68
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,69
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,70
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,71
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,72
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,73
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,74
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,75
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,76
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,77
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,78
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,79
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,80
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,81
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,82
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,83
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,84
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,85
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,86
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,87
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,88
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,89
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,90
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,91
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,92
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,93
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,94
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,95
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,96
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,97
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,98
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,99
